Problem Size,Fitness,FEvals,Time
10,9.0,101.0,0.009933599998475984
50,48.0,1889.0,0.4405985000048531
100,96.0,2509.0,0.7224424000014551
200,188.0,2891.0,0.8705331999954069
400,359.0,4608.0,2.0632613000052515
600,548.0,4671.0,2.1915143999940483
800,713.0,5493.0,3.028528999988339
1000,894.0,5593.0,3.0939939000090817
