Iteration,Time,Fitness,FEvals,max_iters,Algorithm
0,0.0015509999939240515,1245.0,100.0,4096,GA
1,0.021698600001400337,1398.0,202.0,4096,GA
2,0.026335599992307834,1427.0,304.0,4096,GA
3,0.0315273000014713,1434.0,406.0,4096,GA
4,0.036571699994965456,1449.0,508.0,4096,GA
5,0.04200689999561291,1517.0,610.0,4096,GA
6,0.04635699999926146,1519.0,712.0,4096,GA
7,0.05132909999520052,1519.0,813.0,4096,GA
8,0.05588240000361111,1533.0,915.0,4096,GA
9,0.06111509999027476,1623.0,1017.0,4096,GA
10,0.06554309999046382,1632.0,1119.0,4096,GA
11,0.07010549999540672,1632.0,1220.0,4096,GA
12,0.07507419999456033,1638.0,1322.0,4096,GA
13,0.07952929999737535,1661.0,1424.0,4096,GA
14,0.08397359999071341,1673.0,1526.0,4096,GA
15,0.08832579999580048,1673.0,1627.0,4096,GA
16,0.09270939999260008,1714.0,1729.0,4096,GA
17,0.09815059999527875,1719.0,1831.0,4096,GA
18,0.10253809999267105,1719.0,1932.0,4096,GA
19,0.10698099998990074,1719.0,2033.0,4096,GA
20,0.11139029999321792,1743.0,2135.0,4096,GA
21,0.11579369999526534,1745.0,2237.0,4096,GA
22,0.12019709999731276,1779.0,2339.0,4096,GA
23,0.1246264999936102,1826.0,2441.0,4096,GA
24,0.13004750000254717,1826.0,2542.0,4096,GA
25,0.13587649998953566,1826.0,2643.0,4096,GA
26,0.1407623999984935,1826.0,2744.0,4096,GA
27,0.1452419999986887,1828.0,2846.0,4096,GA
28,0.14957949999370612,1828.0,2947.0,4096,GA
29,0.15429649999714456,1828.0,3048.0,4096,GA
30,0.15867969999089837,1863.0,3150.0,4096,GA
31,0.16304289999243338,1867.0,3252.0,4096,GA
32,0.167442599995411,1869.0,3354.0,4096,GA
33,0.17289239999081474,1881.0,3456.0,4096,GA
34,0.17735489999176934,1906.0,3558.0,4096,GA
35,0.18179419999069069,1911.0,3660.0,4096,GA
36,0.18767309999384452,1911.0,3761.0,4096,GA
37,0.19588279999152292,1911.0,3862.0,4096,GA
38,0.20061810000333935,1911.0,3963.0,4096,GA
39,0.20517129999643657,1928.0,4065.0,4096,GA
40,0.20956519999890588,1928.0,4166.0,4096,GA
41,0.21398659999249503,1933.0,4268.0,4096,GA
42,0.21852880000369623,1942.0,4370.0,4096,GA
43,0.22297409999009687,1946.0,4472.0,4096,GA
44,0.2273365000000922,1946.0,4573.0,4096,GA
45,0.23170910000044387,1965.0,4675.0,4096,GA
46,0.23614290000114124,1965.0,4776.0,4096,GA
47,0.2405521999899065,1965.0,4877.0,4096,GA
48,0.24498960000346415,1965.0,4978.0,4096,GA
49,0.24951169999258127,1965.0,5079.0,4096,GA
50,0.2539472999924328,1965.0,5180.0,4096,GA
51,0.2583745000010822,1965.0,5281.0,4096,GA
