Iteration,Time,Fitness,FEvals,max_iters,Restarts,Algorithm
93,0.0107119000022066,1582.0,2314.0,4096,10,RHC
94,0.010751200003142,1582.0,2315.0,4096,10,RHC
95,0.0107924999974784,1582.0,2316.0,4096,10,RHC
96,0.0108324000029824,1582.0,2317.0,4096,10,RHC
97,0.0108725000027334,1582.0,2318.0,4096,10,RHC
98,0.0109245999992708,1582.0,2319.0,4096,10,RHC
99,0.0109768999973312,1582.0,2320.0,4096,10,RHC
100,0.0110297999999602,1582.0,2321.0,4096,10,RHC
101,0.0110830999983591,1582.0,2322.0,4096,10,RHC
102,0.0111363000032724,1582.0,2323.0,4096,10,RHC
103,0.0111900999982026,1582.0,2324.0,4096,10,RHC
104,0.0112445999984629,1582.0,2325.0,4096,10,RHC
105,0.0112988000037148,1582.0,2326.0,4096,10,RHC
106,0.0113538000005064,1582.0,2327.0,4096,10,RHC
107,0.0114086000030511,1582.0,2328.0,4096,10,RHC
108,0.0114640000028884,1582.0,2329.0,4096,10,RHC
109,0.0115224000037414,1582.0,2330.0,4096,10,RHC
110,0.0115786000023945,1582.0,2331.0,4096,10,RHC
111,0.0116362999979173,1582.0,2332.0,4096,10,RHC
112,0.0116932000019005,1582.0,2333.0,4096,10,RHC
113,0.0117468000025837,1582.0,2334.0,4096,10,RHC
114,0.0117953000008128,1582.0,2335.0,4096,10,RHC
115,0.0118437999990419,1582.0,2336.0,4096,10,RHC
116,0.0118915999992168,1582.0,2337.0,4096,10,RHC
117,0.0119403999997302,1582.0,2338.0,4096,10,RHC
118,0.0119896000032895,1582.0,2339.0,4096,10,RHC
119,0.0120385000045644,1582.0,2340.0,4096,10,RHC
120,0.0120870000027935,1582.0,2341.0,4096,10,RHC
121,0.012136700002884,1582.0,2342.0,4096,10,RHC
122,0.0121859999999287,1582.0,2343.0,4096,10,RHC
123,0.0122359000015421,1582.0,2344.0,4096,10,RHC
124,0.012285900003917,1582.0,2345.0,4096,10,RHC
125,0.0123365000035846,1582.0,2346.0,4096,10,RHC
126,0.0123869000017293,1582.0,2347.0,4096,10,RHC
127,0.0124375000013969,1582.0,2348.0,4096,10,RHC
128,0.0124930000019958,1582.0,2349.0,4096,10,RHC
129,0.0136132000043289,1582.0,2350.0,4096,10,RHC
130,0.0136685000034049,1582.0,2351.0,4096,10,RHC
131,0.0137168000001111,1582.0,2352.0,4096,10,RHC
132,0.0137637000007089,1582.0,2353.0,4096,10,RHC
133,0.0138105000005452,1582.0,2354.0,4096,10,RHC
134,0.0138577000034274,1582.0,2355.0,4096,10,RHC
135,0.0139049999997951,1582.0,2356.0,4096,10,RHC
136,0.0139553999979398,1582.0,2357.0,4096,10,RHC
137,0.0140026000008219,1582.0,2358.0,4096,10,RHC
138,0.014049999997951,1582.0,2359.0,4096,10,RHC
139,0.0140971000000718,1582.0,2360.0,4096,10,RHC
140,0.0141446999987238,1582.0,2361.0,4096,10,RHC
141,0.014196100004483,1582.0,2362.0,4096,10,RHC
142,0.0142444000011892,1582.0,2363.0,4096,10,RHC
143,0.0142917999983183,1582.0,2364.0,4096,10,RHC
144,0.0143438000013702,1582.0,2365.0,4096,10,RHC
145,0.0143926000018836,1582.0,2366.0,4096,10,RHC
146,0.0144411000001127,1582.0,2367.0,4096,10,RHC
147,0.014490300003672,1582.0,2368.0,4096,10,RHC
148,0.0145396000007167,1582.0,2369.0,4096,10,RHC
149,0.0145899999988614,1582.0,2370.0,4096,10,RHC
150,0.0146404000042821,1582.0,2371.0,4096,10,RHC
151,0.0146898000020883,1582.0,2372.0,4096,10,RHC
152,0.0147395000021788,1582.0,2373.0,4096,10,RHC
153,0.0147902000026078,1582.0,2374.0,4096,10,RHC
154,0.0148402999984682,1582.0,2375.0,4096,10,RHC
155,0.0148906000031274,1582.0,2376.0,4096,10,RHC
156,0.0149413000035565,1582.0,2377.0,4096,10,RHC
157,0.0149925000005168,1582.0,2378.0,4096,10,RHC
158,0.0150433000017073,1582.0,2379.0,4096,10,RHC
159,0.0150954999990062,1582.0,2380.0,4096,10,RHC
160,0.0151476000028196,1582.0,2381.0,4096,10,RHC
161,0.0152001000024029,1582.0,2382.0,4096,10,RHC
162,0.0152519999974174,1582.0,2383.0,4096,10,RHC
163,0.0153037999989464,1582.0,2384.0,4096,10,RHC
164,0.0153557000012369,1582.0,2385.0,4096,10,RHC
165,0.0154085000031045,1582.0,2386.0,4096,10,RHC
166,0.0154622999980347,1582.0,2387.0,4096,10,RHC
167,0.0155162000010022,1582.0,2388.0,4096,10,RHC
168,0.0155698000016855,1582.0,2389.0,4096,10,RHC
169,0.0156244000027072,1582.0,2390.0,4096,10,RHC
170,0.0156798000025446,1582.0,2391.0,4096,10,RHC
171,0.015734100001282,1582.0,2392.0,4096,10,RHC
172,0.0157884000000194,1582.0,2393.0,4096,10,RHC
173,0.0158437999998568,1582.0,2394.0,4096,10,RHC
174,0.0158997000035014,1582.0,2395.0,4096,10,RHC
175,0.0159668999986024,1582.0,2396.0,4096,10,RHC
176,0.0160289999985252,1605.0,2398.0,4096,10,RHC
