Problem Size,Fitness,FEvals,Time
50,1018.0,5519.0,0.5632492999999954
100,2024.0,8027.0,1.8648980999999765
200,4560.0,13048.0,5.230343299999987
400,8892.0,21079.0,49.58023699999998
