Iteration,Time,Fitness,FEvals,max_iters,Algorithm
180,0.030565900000510737,1701.0,224.0,4096,SA
181,0.030631800000264775,1710.0,226.0,4096,SA
182,0.030691800006025005,1710.0,227.0,4096,SA
183,0.030752099999517668,1710.0,228.0,4096,SA
184,0.03081410000595497,1710.0,229.0,4096,SA
185,0.030875800002831966,1710.0,230.0,4096,SA
186,0.030938700001570396,1710.0,231.0,4096,SA
187,0.030999800001154654,1710.0,232.0,4096,SA
188,0.03107280000403989,1743.0,234.0,4096,SA
189,0.03113390000362415,1743.0,235.0,4096,SA
190,0.031195499999739695,1743.0,236.0,4096,SA
191,0.03125770000042394,1743.0,237.0,4096,SA
192,0.03132010000263108,1743.0,238.0,4096,SA
193,0.03138220000255387,1743.0,239.0,4096,SA
194,0.031444799999007955,1743.0,240.0,4096,SA
195,0.031507400002737995,1743.0,241.0,4096,SA
196,0.03156999999919208,1743.0,242.0,4096,SA
197,0.03163309999945341,1743.0,243.0,4096,SA
198,0.031698400001914706,1743.0,244.0,4096,SA
199,0.03176299999904586,1743.0,245.0,4096,SA
200,0.03183560000616126,1750.0,247.0,4096,SA
201,0.03190770000219345,1753.0,249.0,4096,SA
202,0.03197329999966314,1753.0,250.0,4096,SA
203,0.03203850000136299,1753.0,251.0,4096,SA
204,0.03210630000103265,1753.0,252.0,4096,SA
205,0.03217210000002524,1753.0,253.0,4096,SA
206,0.032240600005025044,1753.0,254.0,4096,SA
207,0.03231120000418741,1753.0,255.0,4096,SA
208,0.03237770000123419,1753.0,256.0,4096,SA
209,0.032450900005642325,1753.0,257.0,4096,SA
210,0.03252269999939017,1753.0,258.0,4096,SA
211,0.03260180000506807,1751.0,260.0,4096,SA
212,0.032669100000930484,1751.0,261.0,4096,SA
213,0.032737000001361594,1751.0,262.0,4096,SA
214,0.032804800001031253,1751.0,263.0,4096,SA
215,0.03287380000256235,1751.0,264.0,4096,SA
216,0.03294280000409344,1751.0,265.0,4096,SA
217,0.03301300000021001,1751.0,266.0,4096,SA
218,0.033106400005635805,1751.0,267.0,4096,SA
219,0.033179199999722186,1751.0,268.0,4096,SA
220,0.03325290000066161,1751.0,269.0,4096,SA
221,0.03332280000176979,1751.0,270.0,4096,SA
222,0.033392199999070726,1751.0,271.0,4096,SA
223,0.03346160000364762,1751.0,272.0,4096,SA
224,0.03353179999976419,1751.0,273.0,4096,SA
225,0.033605600001465064,1751.0,274.0,4096,SA
226,0.033680200001981575,1751.0,275.0,4096,SA
227,0.03374930000427412,1751.0,276.0,4096,SA
228,0.033823000005213544,1751.0,277.0,4096,SA
229,0.03389360000437591,1751.0,278.0,4096,SA
230,0.03396230000362266,1751.0,279.0,4096,SA
231,0.034033200005069375,1751.0,280.0,4096,SA
232,0.03410280000389321,1751.0,281.0,4096,SA
233,0.034173500003817026,1751.0,282.0,4096,SA
234,0.034251299999596085,1751.0,283.0,4096,SA
235,0.03432700000121258,1751.0,284.0,4096,SA
236,0.03440750000299886,1751.0,285.0,4096,SA
237,0.034488100005546585,1751.0,286.0,4096,SA
238,0.034565900001325645,1751.0,287.0,4096,SA
239,0.034640700003365055,1751.0,288.0,4096,SA
240,0.034723000004305504,1751.0,289.0,4096,SA
241,0.03479940000397619,1751.0,290.0,4096,SA
242,0.03487600000516977,1751.0,291.0,4096,SA
243,0.034952900001371745,1751.0,292.0,4096,SA
244,0.03502950000256533,1751.0,293.0,4096,SA
245,0.03510540000570472,1751.0,294.0,4096,SA
246,0.035182999999960884,1751.0,295.0,4096,SA
247,0.03525939999963157,1751.0,296.0,4096,SA
248,0.03534120000404073,1751.0,297.0,4096,SA
249,0.035420000000158325,1751.0,298.0,4096,SA
250,0.03550330000143731,1746.0,300.0,4096,SA
251,0.035579300005338155,1746.0,301.0,4096,SA
252,0.03566290000162553,1746.0,302.0,4096,SA
253,0.03573840000171913,1746.0,303.0,4096,SA
254,0.03581540000595851,1746.0,304.0,4096,SA
255,0.03589310000097612,1746.0,305.0,4096,SA
256,0.03597050000098534,1746.0,306.0,4096,SA
257,0.03732190000300761,1746.0,307.0,4096,SA
258,0.037403700000140816,1746.0,308.0,4096,SA
259,0.03748170000471873,1746.0,309.0,4096,SA
260,0.03756390000489773,1788.0,311.0,4096,SA
261,0.03763950000575278,1788.0,312.0,4096,SA
262,0.03771490000508493,1788.0,313.0,4096,SA
263,0.03779439999925671,1788.0,314.0,4096,SA
264,0.03787010000087321,1788.0,315.0,4096,SA
265,0.037948199998936616,1788.0,316.0,4096,SA
266,0.03803080000216141,1788.0,317.0,4096,SA
267,0.03810650000377791,1788.0,318.0,4096,SA
268,0.03819099999964237,1788.0,319.0,4096,SA
269,0.03827440000168281,1788.0,320.0,4096,SA
270,0.03835320000507636,1788.0,321.0,4096,SA
271,0.03843269999924814,1788.0,322.0,4096,SA
272,0.038512300001457334,1788.0,323.0,4096,SA
273,0.03859360000205925,1788.0,324.0,4096,SA
274,0.038678700002492405,1788.0,325.0,4096,SA
275,0.03876450000097975,1788.0,326.0,4096,SA
276,0.03885040000022855,1788.0,327.0,4096,SA
277,0.038930200003960636,1788.0,328.0,4096,SA
278,0.039010799999232404,1788.0,329.0,4096,SA
279,0.039090400001441594,1788.0,330.0,4096,SA
280,0.039177099999506027,1788.0,331.0,4096,SA
281,0.03926019999926211,1788.0,332.0,4096,SA
282,0.03934700000536395,1788.0,333.0,4096,SA
283,0.03943460000300547,1788.0,334.0,4096,SA
284,0.03951670000242302,1788.0,335.0,4096,SA
285,0.039598000003024936,1788.0,336.0,4096,SA
286,0.03968000000168104,1788.0,337.0,4096,SA
287,0.039760300001944415,1788.0,338.0,4096,SA
288,0.03984700000000885,1788.0,339.0,4096,SA
289,0.039932200001203455,1788.0,340.0,4096,SA
290,0.04001370000332827,1788.0,341.0,4096,SA
291,0.04010270000435412,1788.0,342.0,4096,SA
292,0.040183700002671685,1788.0,343.0,4096,SA
293,0.04026780000276631,1788.0,344.0,4096,SA
294,0.04035380000277655,1788.0,345.0,4096,SA
295,0.04044440000143368,1788.0,346.0,4096,SA
296,0.040534899999329355,1788.0,347.0,4096,SA
297,0.04062520000297809,1787.0,349.0,4096,SA
298,0.04071180000028107,1787.0,350.0,4096,SA
299,0.0408026000004611,1787.0,351.0,4096,SA
300,0.040892100005294196,1789.0,353.0,4096,SA
301,0.040977200005727354,1789.0,354.0,4096,SA
302,0.04106329999922309,1789.0,355.0,4096,SA
303,0.04115000000456348,1789.0,356.0,4096,SA
304,0.041243200001190417,1786.0,358.0,4096,SA
305,0.04133640000509331,1786.0,359.0,4096,SA
306,0.04142100000171922,1786.0,360.0,4096,SA
307,0.04150430000299821,1786.0,361.0,4096,SA
308,0.041586700004700106,1786.0,362.0,4096,SA
309,0.04167600000073435,1794.0,364.0,4096,SA
310,0.041766200003621634,1794.0,365.0,4096,SA
311,0.04185449999931734,1800.0,367.0,4096,SA
312,0.04194210000423482,1800.0,368.0,4096,SA
313,0.042027100003906526,1800.0,369.0,4096,SA
314,0.04211370000120951,1800.0,370.0,4096,SA
315,0.0422032999995281,1800.0,371.0,4096,SA
316,0.04228980000334559,1800.0,372.0,4096,SA
317,0.042388000001665205,1800.0,373.0,4096,SA
318,0.04248010000446811,1800.0,374.0,4096,SA
319,0.04263650000211783,1800.0,375.0,4096,SA
320,0.04278290000365814,1800.0,376.0,4096,SA
321,0.04288030000316212,1800.0,377.0,4096,SA
322,0.04298890000063693,1800.0,378.0,4096,SA
323,0.043089400001917966,1800.0,379.0,4096,SA
324,0.04317979999905219,1800.0,380.0,4096,SA
325,0.04327020000346238,1800.0,381.0,4096,SA
326,0.04341170000407146,1800.0,382.0,4096,SA
327,0.04356730000290554,1818.0,384.0,4096,SA
328,0.04371450000326149,1818.0,385.0,4096,SA
329,0.043861000005563255,1818.0,386.0,4096,SA
330,0.04400600000371924,1818.0,387.0,4096,SA
331,0.044142099999589846,1818.0,388.0,4096,SA
332,0.04426110000349581,1818.0,389.0,4096,SA
333,0.04438120000122581,1818.0,390.0,4096,SA
334,0.044504700003017206,1818.0,391.0,4096,SA
335,0.04462890000286279,1818.0,392.0,4096,SA
336,0.04475060000550002,1818.0,393.0,4096,SA
337,0.044872800004668534,1818.0,394.0,4096,SA
338,0.04499439999926835,1818.0,395.0,4096,SA
339,0.04511520000232849,1818.0,396.0,4096,SA
340,0.04523719999997411,1816.0,398.0,4096,SA
341,0.04533549999905517,1816.0,399.0,4096,SA
342,0.04543489999923622,1816.0,400.0,4096,SA
343,0.04553230000601616,1816.0,401.0,4096,SA
344,0.045629700005520135,1816.0,402.0,4096,SA
345,0.045729400000709575,1816.0,403.0,4096,SA
346,0.04582930000469787,1816.0,404.0,4096,SA
347,0.0459333000035258,1816.0,405.0,4096,SA
348,0.046033800004806835,1816.0,406.0,4096,SA
349,0.046133300005749334,1816.0,407.0,4096,SA
350,0.0462346999993315,1816.0,408.0,4096,SA
351,0.04633319999993546,1816.0,409.0,4096,SA
352,0.04643380000197794,1816.0,410.0,4096,SA
353,0.046535000001313165,1816.0,411.0,4096,SA
354,0.04663340000115568,1816.0,412.0,4096,SA
355,0.04673000000184402,1816.0,413.0,4096,SA
356,0.04682709999906365,1816.0,414.0,4096,SA
357,0.046924500005843583,1816.0,415.0,4096,SA
358,0.0470229000056861,1816.0,416.0,4096,SA
359,0.047121600000537,1816.0,417.0,4096,SA
360,0.04721910000080243,1816.0,418.0,4096,SA
361,0.04731680000259075,1816.0,419.0,4096,SA
362,0.04741140000260202,1816.0,420.0,4096,SA
363,0.047507100003713276,1816.0,421.0,4096,SA
364,0.04760250000254018,1816.0,422.0,4096,SA
365,0.04769920000398997,1816.0,423.0,4096,SA
366,0.047798100000363775,1816.0,424.0,4096,SA
367,0.0478956000006292,1816.0,425.0,4096,SA
368,0.04799220000131754,1816.0,426.0,4096,SA
369,0.0480948000040371,1816.0,427.0,4096,SA
370,0.048189500004809815,1816.0,428.0,4096,SA
